"","x"
"1168",79.16
"1169",77.04
"1170",75.02
"1171",72.33
"1172",71.96
"1173",71.96
"1174",69.56
"1175",67.36
"1176",67.35
"1177",64.68
"1178",65.43
"1179",62.58
"1180",62.95
"1181",62.58
"1182",58.28
"1183",58.65
"1184",58.28
"1185",56.18
"1186",56.18
"1187",56.55
"1188",54.18
"1189",54.18
"1190",54.55
"1191",52.28
"1192",52.28
"1193",52.28
"1194",49.92
"1195",50.28
"1196",50.65
"1197",48.38
"1198",48.02
"1199",47.66
"1200",48.02
"1201",46.58
"1202",46.21
"1203",46.58
"1204",45.15
"1205",44.78
"1206",44.77
"1207",42.77
"1208",40.41
"1209",40.77
"1210",41.14
"1211",40.77
"1212",39.07
"1213",38.71
"1214",39.07
"1215",39.07
"1216",37.37
"1217",37.37
"1218",37.37
"1219",37.74
"1220",35.77
"1221",35.77
"1222",35.77
"1223",35.77
"1224",35.41
"1225",33.71
"1226",34.07
"1227",32.01
"1228",32.37
"1229",32.37
"1230",32.37
"1231",30.77
"1232",30.77
"1233",30.77
"1234",30.77
"1235",30.77
"1236",29.06
"1237",29.06
"1238",29.06
"1239",28.7
"1240",29.06
"1241",29.06
"1242",29.06
"1243",27.36
"1244",27.36
"1245",27.36
"1246",27.36
"1247",27.36
"1248",25.4
"1249",25.76
"1250",25.4
"1251",25.76
"1252",25.76
"1253",25.4
"1254",25.4
"1255",25.4
"1256",25.4
"1257",25.4
"1258",25.4
"1259",25.4
"1260",24.26
"1261",23.9
"1262",23.54
"1263",23.89
"1264",23.89
"1265",23.89
"1266",23.89
"1267",22.39
"1268",23.89
"1269",22.39
"1270",22.39
"1271",22.39
"1272",22.39
"1273",22.39
"1274",22.39
"1275",22.04
"1276",22.04
"1277",22.04
"1278",21.69
"1279",22.04
"1280",22.04
"1281",20.44
"1282",20.44
"1283",20.43
"1284",20.43
"1285",20.43
"1286",20.43
"1287",20.09
"1288",20.43
"1289",20.43
"1290",20.43
"1291",21.69
"1292",23.19
"1293",24.35
"1294",25.95
"1295",27.65
"1296",27.32
"1297",27.32
"1298",27.32
"1299",27.32
"1300",27
"1301",27.32
"1302",27.32
"1303",27.32
"1304",25.62
"1305",25.62
"1306",25.62
"1307",25.62
"1308",25.62
"1309",25.62
"1310",24.02
"1311",24.02
"1312",24.02
"1313",23.7
"1314",23.7
"1315",23.7
"1316",23.7
"1317",23.7
"1318",23.69
"1319",22.19
"1320",22.19
"1321",22.19
"1322",22.19
"1323",22.19
"1324",22.19
"1325",20.69
"1326",20.69
"1327",20.69
"1328",20.69
"1329",20.69
"1330",20.69
"1331",20.69
"1332",20.69
"1333",19.09
"1334",19.09
"1335",19.09
"1336",19.09
"1337",19.09
"1338",19.09
"1339",19.09
"1340",19.09
"1341",19.09
"1342",19.09
"1343",17.69
"1344",17.69
"1345",17.69
"1346",17.69
"1347",17.69
"1348",18.01
"1349",18.01
"1350",17.69
"1351",17.69
"1352",17.69
"1353",18
"1354",17.68
"1355",17.68
"1356",17.68
"1357",17.68
"1358",18
"1359",18
"1360",17.68
"1361",15.78
"1362",18
"1363",17.68
"1364",17.68
"1365",17.68
"1366",17.37
"1367",17.37
"1368",17.37
"1369",15.47
"1370",17.37
"1371",17.37
"1372",15.47
"1373",15.29
"1374",17.19
"1375",17.19
"1376",15.29
"1377",17.19
"1378",15.29
"1379",15.29
"1380",15.29
"1381",15.29
"1382",15.29
"1383",15.29
"1384",15.29
"1385",15.29
"1386",15.29
"1387",15.12
"1388",15.12
"1389",15.29
"1390",15.12
"1391",15.12
"1392",13.44
"1393",13.44
"1394",13.44
"1395",13.44
"1396",13.44
"1397",13.44
"1398",13.44
"1399",13.44
"1400",13.44
"1401",13.44
"1402",13.44
"1403",13.44
"1404",13.44
"1405",15.11
"1406",15.11
"1407",15.11
"1408",13.44
"1409",15.11
"1410",15.11
"1411",15.11
"1412",15.11
"1413",15.11
"1414",15.11
"1415",15.11
"1416",15.11
"1417",15.11
"1418",15.11
"1419",15.11
"1420",15.28
"1421",15.11
"1422",15.11
"1423",15.28
"1424",15.11
"1425",15.11
"1426",15.28
"1427",15.28
"1428",15.28
"1429",13.44
"1430",13.44
"1431",15.11
"1432",15.11
"1433",15.11
"1434",15.28
"1435",15.28
"1436",15.28
"1437",15.28
"1438",15.28
"1439",15.28
"1440",15.11
"1441",15.28
"1442",15.28
"1443",15.28
"1444",15.28
"1445",17.18
"1446",17.18
"1447",15.28
"1448",15.28
"1449",15.28
"1450",17.18
"1451",17.18
"1452",17.36
"1453",17.36
"1454",15.46
"1455",15.76
"1456",17.66
"1457",15.46
"1458",15.75
"1459",15.75
"1460",15.75
"1461",17.65
"1462",15.46
"1463",15.46
"1464",15.75
"1465",15.75
"1466",15.75
"1467",15.75
"1468",15.75
"1469",15.46
"1470",15.46
"1471",15.46
"1472",15.75
"1473",15.46
"1474",15.46
"1475",13.79
"1476",15.46
"1477",15.46
"1478",13.79
"1479",15.46
"1480",15.46
"1481",13.78
"1482",13.78
"1483",13.78
"1484",13.78
"1485",13.78
"1486",13.78
"1487",14.08
"1488",14.08
"1489",14.08
"1490",14.08
"1491",14.07
"1492",14.07
"1493",14.07
"1494",14.07
"1495",14.39
"1496",14.07
"1497",14.07
"1498",14.07
"1499",14.07
"1500",14.07
"1501",14.07
"1502",14.07
"1503",14.07
"1504",14.07
"1505",14.07
"1506",14.07
"1507",14.07
"1508",14.07
"1509",14.07
